,tx_type,date,punk_id,transfer_count,eth_amount,dollar_amount,floor_price,mean_offer,median_offer,min_sale_price,min_bid,mean_bid,median_bid,floor_sale_target,discount_target,premium_target
7535,Sold,2020-12-27,4635,0.0,5.45,3459,4.95,28.034680851063833,11.95,0.7,1.0,4.32,4.0,0,0,1
7536,Sold,2020-12-27,7929,4.0,8,5153,4.95,28.034680851063833,11.95,0.7,1.0,4.32,4.0,0,0,1
7537,Sold,2020-12-28,8998,1.0,7.49,5444,5.26,13.676296296296297,8.0,3.51,0.01,1.6210869565217387,1.0,0,0,1
7538,Sold,2020-12-28,1780,0.0,4.50,3323,5.26,13.676296296296297,8.0,3.51,0.01,1.6210869565217387,1.0,0,1,0
7539,Sold,2020-12-28,3380,0.0,5.35,3678,5.26,13.676296296296297,8.0,3.51,0.01,1.6210869565217387,1.0,0,0,1
7540,Sold,2020-12-28,7072,1.0,5.55,4000,5.26,13.676296296296297,8.0,3.51,0.01,1.6210869565217387,1.0,0,0,1
7541,Sold,2020-12-28,8897,2.0,6,4199,5.26,13.676296296296297,8.0,3.51,0.01,1.6210869565217387,1.0,0,0,1
7542,Sold,2020-12-28,1467,2.0,3.51,2566,5.26,13.676296296296297,8.0,3.51,0.01,1.6210869565217387,1.0,0,1,0
7543,Sold,2020-12-28,9225,1.0,5.35,3755,5.26,13.676296296296297,8.0,3.51,0.01,1.6210869565217387,1.0,0,0,1
7544,Sold,2020-12-29,8341,4.0,4.89,3566,4.89,14.209090909090907,7.5,4.89,0.8,4.48258064516129,4.58,1,0,0
7545,Sold,2020-12-29,1467,2.0,5.26,3634,4.89,14.209090909090907,7.5,4.89,0.8,4.48258064516129,4.58,0,0,1
7546,Sold,2020-12-29,6576,0.0,6,4392,4.89,14.209090909090907,7.5,4.89,0.8,4.48258064516129,4.58,0,0,1
7547,Sold,2020-12-29,6580,1.0,5.27,3819,4.89,14.209090909090907,7.5,4.89,0.8,4.48258064516129,4.58,0,0,1
7548,Sold,2020-12-29,2184,2.0,5.50,3999,4.89,14.209090909090907,7.5,4.89,0.8,4.48258064516129,4.58,0,0,1
7549,Sold,2020-12-29,4253,1.0,5.65,4121,4.89,14.209090909090907,7.5,4.89,0.8,4.48258064516129,4.58,0,0,1
7550,Sold,2020-12-29,4446,0.0,6.50,4741,4.89,14.209090909090907,7.5,4.89,0.8,4.48258064516129,4.58,0,0,1
7551,Sold,2020-12-29,6710,1.0,5.46,3982,4.89,14.209090909090907,7.5,4.89,0.8,4.48258064516129,4.58,0,0,1
7552,Sold,2020-12-29,6620,1.0,7.39,5106,4.89,14.209090909090907,7.5,4.89,0.8,4.48258064516129,4.58,0,0,1
7553,Sold,2020-12-29,4905,1.0,5.25,3818,4.89,14.209090909090907,7.5,4.89,0.8,4.48258064516129,4.58,0,0,1
7554,Sold,2020-12-30,9322,0.0,5.39,3901,5.39,42.5038888888889,11.719999999999999,4.56,1.0,7.513548387096773,7.0,1,0,0
7555,Sold,2020-12-30,7335,2.0,4.56,3344,5.39,42.5038888888889,11.719999999999999,4.56,1.0,7.513548387096773,7.0,0,1,0
7556,Sold,2020-12-30,3074,0.0,8,5852,5.39,42.5038888888889,11.719999999999999,4.56,1.0,7.513548387096773,7.0,0,0,1
7557,Sold,2020-12-30,3307,0.0,189.99,137522,5.39,42.5038888888889,11.719999999999999,4.56,1.0,7.513548387096773,7.0,0,0,1
7558,Sold,2020-12-30,777,0.0,18.99,13746,5.39,42.5038888888889,11.719999999999999,4.56,1.0,7.513548387096773,7.0,0,0,1
7559,Sold,2020-12-30,9726,1.0,5.98,4406,5.39,42.5038888888889,11.719999999999999,4.56,1.0,7.513548387096773,7.0,0,0,1
7560,Sold,2020-12-30,5546,0.0,5.95,4329,5.39,42.5038888888889,11.719999999999999,4.56,1.0,7.513548387096773,7.0,0,0,1
7561,Sold,2020-12-30,8396,1.0,5.29,3831,5.39,42.5038888888889,11.719999999999999,4.56,1.0,7.513548387096773,7.0,0,1,0
7562,Sold,2020-12-30,9340,1.0,4.56,3344,5.39,42.5038888888889,11.719999999999999,4.56,1.0,7.513548387096773,7.0,0,1,0
7563,Sold,2020-12-30,5829,1.0,6.10,4592,5.39,42.5038888888889,11.719999999999999,4.56,1.0,7.513548387096773,7.0,0,0,1
7564,Sold,2020-12-30,8262,1.0,5.50,4033,5.39,42.5038888888889,11.719999999999999,4.56,1.0,7.513548387096773,7.0,0,0,1
7565,Sold,2020-12-31,7923,0.0,8,5862,4.0,32.808214285714286,9.125,4.0,1.0,4.993076923076924,4.0,0,0,1
7566,Sold,2020-12-31,7632,0.0,5,3664,4.0,32.808214285714286,9.125,4.0,1.0,4.993076923076924,4.0,0,0,1
7567,Sold,2020-12-31,6326,3.0,6,4397,4.0,32.808214285714286,9.125,4.0,1.0,4.993076923076924,4.0,0,0,1
7568,Sold,2020-12-31,1957,0.0,4,2931,4.0,32.808214285714286,9.125,4.0,1.0,4.993076923076924,4.0,1,0,0
7569,Sold,2020-12-31,2156,0.0,4,2931,4.0,32.808214285714286,9.125,4.0,1.0,4.993076923076924,4.0,1,0,0
7570,Sold,2020-12-31,2156,0.0,5.30,3913,4.0,32.808214285714286,9.125,4.0,1.0,4.993076923076924,4.0,0,0,1
7571,Sold,2020-12-31,7532,0.0,4.50,3298,4.0,32.808214285714286,9.125,4.0,1.0,4.993076923076924,4.0,0,0,1
7572,Sold,2020-12-31,8320,1.0,14,10315,4.0,32.808214285714286,9.125,4.0,1.0,4.993076923076924,4.0,0,0,1
7573,Sold,2020-12-31,5004,1.0,5.95,4384,4.0,32.808214285714286,9.125,4.0,1.0,4.993076923076924,4.0,0,0,1
7574,Sold,2020-12-31,1096,2.0,4,2931,4.0,32.808214285714286,9.125,4.0,1.0,4.993076923076924,4.0,1,0,0
7575,Sold,2020-12-31,6952,4.0,4,2939,4.0,32.808214285714286,9.125,4.0,1.0,4.993076923076924,4.0,1,0,0
7576,Sold,2020-12-31,4257,0.0,4,2931,4.0,32.808214285714286,9.125,4.0,1.0,4.993076923076924,4.0,1,0,0
7577,Sold,2020-12-31,9270,1.0,5.99,4466,4.0,32.808214285714286,9.125,4.0,1.0,4.993076923076924,4.0,0,0,1
7578,Sold,2020-12-31,7117,1.0,4,2931,4.0,32.808214285714286,9.125,4.0,1.0,4.993076923076924,4.0,1,0,0
7579,Sold,2020-12-31,8227,0.0,4,2931,4.0,32.808214285714286,9.125,4.0,1.0,4.993076923076924,4.0,1,0,0
7580,Sold,2021-01-01,4444,3.0,11.44,8435,5.45,23.35541666666667,19.994999999999997,5.5,0.1,26.822307692307692,8.5,0,0,1
7581,Sold,2021-01-01,3073,0.0,5.50,4050,5.45,23.35541666666667,19.994999999999997,5.5,0.1,26.822307692307692,8.5,0,0,1
7582,Sold,2021-01-01,9368,0.0,88.55,65335,5.45,23.35541666666667,19.994999999999997,5.5,0.1,26.822307692307692,8.5,0,0,1
7583,Sold,2021-01-02,9683,2.0,5.30,4117,4.9,14.28357142857143,5.975,4.9,2.0,5.238235294117647,4.5,0,0,1
7584,Sold,2021-01-02,4861,2.0,5.45,4254,4.9,14.28357142857143,5.975,4.9,2.0,5.238235294117647,4.5,0,0,1
7585,Sold,2021-01-02,3410,2.0,4.97,3809,4.9,14.28357142857143,5.975,4.9,2.0,5.238235294117647,4.5,0,0,1
7586,Sold,2021-01-02,1743,2.0,4.90,3756,4.9,14.28357142857143,5.975,4.9,2.0,5.238235294117647,4.5,1,0,0
7587,Sold,2021-01-02,9340,1.0,5.47,4011,4.9,14.28357142857143,5.975,4.9,2.0,5.238235294117647,4.5,0,0,1
7588,Sold,2021-01-03,5287,9.0,5.50,5021,4.99,30.435250000000003,17.25,4.2,4.0,7.716923076923076,6.66,0,0,1
7589,Sold,2021-01-03,9683,2.0,12.90,10489,4.99,30.435250000000003,17.25,4.2,4.0,7.716923076923076,6.66,0,0,1
7590,Sold,2021-01-03,4452,0.0,7.50,7059,4.99,30.435250000000003,17.25,4.2,4.0,7.716923076923076,6.66,0,0,1
7591,Sold,2021-01-03,5544,1.0,4.20,3425,4.99,30.435250000000003,17.25,4.2,4.0,7.716923076923076,6.66,0,1,0
7592,Sold,2021-01-03,5544,1.0,4.99,4103,4.99,30.435250000000003,17.25,4.2,4.0,7.716923076923076,6.66,1,0,0
7593,Sold,2021-01-04,9654,2.0,9.50,9572,4.69,15.216222222222223,9.75,4.0,2.0,11.770204081632654,9.5,0,0,1
7594,Sold,2021-01-04,9167,1.0,7.50,7603,4.69,15.216222222222223,9.75,4.0,2.0,11.770204081632654,9.5,0,0,1
7595,Sold,2021-01-04,1764,0.0,4.45,4623,4.69,15.216222222222223,9.75,4.0,2.0,11.770204081632654,9.5,0,1,0
7596,Sold,2021-01-04,9544,2.0,7.50,7557,4.69,15.216222222222223,9.75,4.0,2.0,11.770204081632654,9.5,0,0,1
7597,Sold,2021-01-04,8639,1.0,12.50,12671,4.69,15.216222222222223,9.75,4.0,2.0,11.770204081632654,9.5,0,0,1
7598,Sold,2021-01-04,7501,1.0,7.89,7998,4.69,15.216222222222223,9.75,4.0,2.0,11.770204081632654,9.5,0,0,1
7599,Sold,2021-01-04,4036,0.0,5.50,5569,4.69,15.216222222222223,9.75,4.0,2.0,11.770204081632654,9.5,0,0,1
7600,Sold,2021-01-04,7752,1.0,4.99,5058,4.69,15.216222222222223,9.75,4.0,2.0,11.770204081632654,9.5,0,0,1
7601,Sold,2021-01-04,9880,0.0,4.50,4601,4.69,15.216222222222223,9.75,4.0,2.0,11.770204081632654,9.5,0,1,0
7602,Sold,2021-01-04,3858,1.0,17,17214,4.69,15.216222222222223,9.75,4.0,2.0,11.770204081632654,9.5,0,0,1
7603,Sold,2021-01-04,4176,2.0,13.50,14023,4.69,15.216222222222223,9.75,4.0,2.0,11.770204081632654,9.5,0,0,1
7604,Sold,2021-01-04,8751,3.0,4.69,4865,4.69,15.216222222222223,9.75,4.0,2.0,11.770204081632654,9.5,1,0,0
7605,Sold,2021-01-04,5198,3.0,4,4167,4.69,15.216222222222223,9.75,4.0,2.0,11.770204081632654,9.5,0,1,0
7606,Sold,2021-01-05,5226,3.0,4.80,5108,4.59,21.863906250000003,12.0,3.0,3.0,7.947826086956522,4.5,0,0,1
7607,Sold,2021-01-05,3418,0.0,4.61,4929,4.59,21.863906250000003,12.0,3.0,3.0,7.947826086956522,4.5,0,0,1
7608,Sold,2021-01-05,8495,1.0,4,4176,4.59,21.863906250000003,12.0,3.0,3.0,7.947826086956522,4.5,0,1,0
7609,Sold,2021-01-05,8436,3.0,4.60,4681,4.59,21.863906250000003,12.0,3.0,3.0,7.947826086956522,4.5,0,0,1
7610,Sold,2021-01-05,5198,3.0,4.98,5168,4.59,21.863906250000003,12.0,3.0,3.0,7.947826086956522,4.5,0,0,1
7611,Sold,2021-01-05,7888,1.0,18,18584,4.59,21.863906250000003,12.0,3.0,3.0,7.947826086956522,4.5,0,0,1
7612,Sold,2021-01-05,5732,0.0,3,3285,4.59,21.863906250000003,12.0,3.0,3.0,7.947826086956522,4.5,0,1,0
7613,Sold,2021-01-05,5065,3.0,4.65,4972,4.59,21.863906250000003,12.0,3.0,3.0,7.947826086956522,4.5,0,0,1
7614,Sold,2021-01-05,8767,1.0,8.50,8776,4.59,21.863906250000003,12.0,3.0,3.0,7.947826086956522,4.5,0,0,1
7615,Sold,2021-01-05,6147,1.0,7,7267,4.59,21.863906250000003,12.0,3.0,3.0,7.947826086956522,4.5,0,0,1
7616,Sold,2021-01-05,9675,1.0,4.99,5461,4.59,21.863906250000003,12.0,3.0,3.0,7.947826086956522,4.5,0,0,1
7617,Sold,2021-01-05,8635,4.0,6.25,6844,4.59,21.863906250000003,12.0,3.0,3.0,7.947826086956522,4.5,0,0,1
7618,Sold,2021-01-05,9675,1.0,4,4176,4.59,21.863906250000003,12.0,3.0,3.0,7.947826086956522,4.5,0,1,0
7619,Sold,2021-01-05,8091,1.0,4.20,4456,4.59,21.863906250000003,12.0,3.0,3.0,7.947826086956522,4.5,0,1,0
7620,Sold,2021-01-05,2156,0.0,5.30,5882,4.59,21.863906250000003,12.0,3.0,3.0,7.947826086956522,4.5,0,0,1
7621,Sold,2021-01-05,2928,1.0,6.50,6757,4.59,21.863906250000003,12.0,3.0,3.0,7.947826086956522,4.5,0,0,1
7622,Sold,2021-01-05,6612,1.0,8.50,9400,4.59,21.863906250000003,12.0,3.0,3.0,7.947826086956522,4.5,0,0,1
7623,Sold,2021-01-05,9720,0.0,5.04,5232,4.59,21.863906250000003,12.0,3.0,3.0,7.947826086956522,4.5,0,0,1
7624,Sold,2021-01-06,5733,0.0,4.65,5569,4.65,13.828249999999997,9.4,4.4,2.5,19.85363636363636,5.89,1,0,0
7625,Sold,2021-01-06,3914,3.0,6,6923,4.65,13.828249999999997,9.4,4.4,2.5,19.85363636363636,5.89,0,0,1
7626,Sold,2021-01-06,9448,0.0,4.99,5976,4.65,13.828249999999997,9.4,4.4,2.5,19.85363636363636,5.89,0,0,1
7627,Sold,2021-01-06,4029,6.0,19,22581,4.65,13.828249999999997,9.4,4.4,2.5,19.85363636363636,5.89,0,0,1
7628,Sold,2021-01-06,9974,2.0,10,11096,4.65,13.828249999999997,9.4,4.4,2.5,19.85363636363636,5.89,0,0,1
7629,Sold,2021-01-06,8751,3.0,5,5580,4.65,13.828249999999997,9.4,4.4,2.5,19.85363636363636,5.89,0,0,1
7630,Sold,2021-01-06,9117,5.0,5,5492,4.65,13.828249999999997,9.4,4.4,2.5,19.85363636363636,5.89,0,0,1
7631,Sold,2021-01-06,5078,1.0,5,5988,4.65,13.828249999999997,9.4,4.4,2.5,19.85363636363636,5.89,0,0,1
7632,Sold,2021-01-06,7846,2.0,49.99,58723,4.65,13.828249999999997,9.4,4.4,2.5,19.85363636363636,5.89,0,0,1
7633,Sold,2021-01-06,8280,2.0,6.75,7720,4.65,13.828249999999997,9.4,4.4,2.5,19.85363636363636,5.89,0,0,1
7634,Sold,2021-01-06,5078,1.0,4.50,5389,4.65,13.828249999999997,9.4,4.4,2.5,19.85363636363636,5.89,0,1,0
7635,Sold,2021-01-06,8219,2.0,140,150275,4.65,13.828249999999997,9.4,4.4,2.5,19.85363636363636,5.89,0,0,1
7636,Sold,2021-01-06,3418,0.0,4.89,5856,4.65,13.828249999999997,9.4,4.4,2.5,19.85363636363636,5.89,0,0,1
7637,Sold,2021-01-06,168,0.0,25,29367,4.65,13.828249999999997,9.4,4.4,2.5,19.85363636363636,5.89,0,0,1
7638,Sold,2021-01-06,6090,4.0,4.65,5509,4.65,13.828249999999997,9.4,4.4,2.5,19.85363636363636,5.89,1,0,0
7639,Sold,2021-01-06,6124,1.0,5.10,6042,4.65,13.828249999999997,9.4,4.4,2.5,19.85363636363636,5.89,0,0,1
7640,Sold,2021-01-06,2944,4.0,4.40,5275,4.65,13.828249999999997,9.4,4.4,2.5,19.85363636363636,5.89,0,1,0
7641,Sold,2021-01-06,9140,0.0,4.59,5497,4.65,13.828249999999997,9.4,4.4,2.5,19.85363636363636,5.89,0,1,0
7642,Sold,2021-01-07,8747,3.0,5.80,7371,4.5,19.67291666666667,9.99,4.25,2.5,8.163666666666668,6.0,0,0,1
7643,Sold,2021-01-07,4767,2.0,6.50,7718,4.5,19.67291666666667,9.99,4.25,2.5,8.163666666666668,6.0,0,0,1
7644,Sold,2021-01-07,9052,0.0,18,22250,4.5,19.67291666666667,9.99,4.25,2.5,8.163666666666668,6.0,0,0,1
7645,Sold,2021-01-07,8743,1.0,6.50,8035,4.5,19.67291666666667,9.99,4.25,2.5,8.163666666666668,6.0,0,0,1
7646,Sold,2021-01-07,2956,1.0,4.89,5931,4.5,19.67291666666667,9.99,4.25,2.5,8.163666666666668,6.0,0,0,1
7647,Sold,2021-01-07,6288,1.0,14,17647,4.5,19.67291666666667,9.99,4.25,2.5,8.163666666666668,6.0,0,0,1
7648,Sold,2021-01-07,8215,1.0,4.50,5468,4.5,19.67291666666667,9.99,4.25,2.5,8.163666666666668,6.0,1,0,0
7649,Sold,2021-01-07,5913,7.0,9.99,12117,4.5,19.67291666666667,9.99,4.25,2.5,8.163666666666668,6.0,0,0,1
7650,Sold,2021-01-07,6863,1.0,5.90,7156,4.5,19.67291666666667,9.99,4.25,2.5,8.163666666666668,6.0,0,0,1
